"Name","ID","Date","Time","Location","X","X.1","Latitude","Longitude","Temperature","X.2","Speed","Power","TidFix","nSats","nAlt","fHDOP","nActivity","datetime","Sex","Patch.ID","region","spp"
"T3HS-7351",300434066985790,2023-02-27,"06:00","//maps.google.com/maps?q=57.147486666667,-2.339708333333",NA,NA,57.147487,-2.339708,NA,NA,0,"3.06 V",33,9,NA,NA,";",2023-02-27 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-27,"12:00","//maps.google.com/maps?q=57.150441666667,-2.345931666667",NA,NA,57.150442,-2.345932,NA,NA,0,"3.06 V",41,13,NA,NA,";",2023-02-27 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-27,"18:00","//maps.google.com/maps?q=57.147345000000,-2.344570000000",NA,NA,57.147345,-2.34457,NA,NA,0,"3.06 V",50,11,NA,NA,";",2023-02-27 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-28,"00:00","//maps.google.com/maps?q=57.147916666667,-2.339268333333",NA,NA,57.147917,-2.339268,NA,NA,0,"3.06 V",41,15,NA,NA,";",2023-02-28 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-28,"06:00","//maps.google.com/maps?q=57.148390000000,-2.340635000000",NA,NA,57.14839,-2.340635,NA,NA,0,"3.06 V",41,13,NA,NA,";",2023-02-28 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-28,"12:01","//maps.google.com/maps?q=57.151646666667,-2.342508333333",NA,NA,57.151647,-2.342508,NA,NA,0,"3.06 V",67,7,NA,NA,";",2023-02-28 12:01:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-02-28,"18:01","//maps.google.com/maps?q=57.147905000000,-2.340046666667",NA,NA,57.147905,-2.340047,NA,NA,0,"3.06 V",71,13,NA,NA,";",2023-02-28 18:01:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-01,"00:00","//maps.google.com/maps?q=57.147816666667,-2.340136666667",NA,NA,57.147817,-2.340137,NA,NA,0,"3.04 V",41,12,NA,NA,";",2023-03-01 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-01,"06:00","//maps.google.com/maps?q=57.147560000000,-2.339386666667",NA,NA,57.14756,-2.339387,NA,NA,0,"3.04 V",30,11,NA,NA,";",2023-03-01 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-01,"12:00","//maps.google.com/maps?q=57.146985000000,-2.343403333333",NA,NA,57.146985,-2.343403,NA,NA,0,"3.04 V",41,13,NA,NA,";",2023-03-01 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-01,"18:00","//maps.google.com/maps?q=57.146955000000,-2.343146666667",NA,NA,57.146955,-2.343147,NA,NA,0,"3.04 V",30,9,NA,NA,";",2023-03-01 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-02,"00:00","//maps.google.com/maps?q=57.147450000000,-2.339916666667",NA,NA,57.14745,-2.339917,NA,NA,0,"3.04 V",39,12,NA,NA,";",2023-03-02 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-02,"06:00","//maps.google.com/maps?q=57.149691666667,-2.343330000000",NA,NA,57.149692,-2.34333,NA,NA,0,"3.04 V",41,15,NA,NA,";",2023-03-02 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-02,"12:00","//maps.google.com/maps?q=57.150531666667,-2.345396666667",NA,NA,57.150532,-2.345397,NA,NA,0,"3.04 V",41,9,NA,NA,";",2023-03-02 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-02,"18:00","//maps.google.com/maps?q=57.150151666667,-2.342733333333",NA,NA,57.150152,-2.342733,NA,NA,0,"3.04 V",41,13,NA,NA,";",2023-03-02 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-03,"00:00","//maps.google.com/maps?q=57.148461666667,-2.338873333333",NA,NA,57.148462,-2.338873,NA,NA,0,"3.04 V",30,10,NA,NA,";",2023-03-03 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-03,"06:00","//maps.google.com/maps?q=57.146135000000,-2.346901666667",NA,NA,57.146135,-2.346902,NA,NA,0,"3.04 V",41,15,NA,NA,";",2023-03-03 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-03,"12:00","//maps.google.com/maps?q=57.144541666667,-2.343533333333",NA,NA,57.144542,-2.343533,NA,NA,0,"3.04 V",41,7,NA,NA,";",2023-03-03 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-03,"18:00","//maps.google.com/maps?q=57.145643333333,-2.342228333333",NA,NA,57.145643,-2.342228,NA,NA,0,"3.02 V",30,6,NA,NA,";",2023-03-03 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-04,"00:00","//maps.google.com/maps?q=57.145163333333,-2.347573333333",NA,NA,57.145163,-2.347573,NA,NA,0,"3.02 V",30,10,NA,NA,";",2023-03-04 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-04,"06:00","//maps.google.com/maps?q=57.146515000000,-2.342726666667",NA,NA,57.146515,-2.342727,NA,NA,0,"3.02 V",30,9,NA,NA,";",2023-03-04 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-04,"12:00","//maps.google.com/maps?q=57.144923333333,-2.337213333333",NA,NA,57.144923,-2.337213,NA,NA,0,"3.02 V",40,11,NA,NA,";",2023-03-04 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-04,"18:00","//maps.google.com/maps?q=57.145371666667,-2.340211666667",NA,NA,57.145372,-2.340212,NA,NA,0,"3.02 V",41,11,NA,NA,";",2023-03-04 18:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-05,"00:00","//maps.google.com/maps?q=57.147568333333,-2.339423333333",NA,NA,57.147568,-2.339423,NA,NA,0,"3.02 V",41,15,NA,NA,";",2023-03-05 00:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-05,"06:00","//maps.google.com/maps?q=57.150480000000,-2.341798333333",NA,NA,57.15048,-2.341798,NA,NA,0,"3.02 V",30,6,NA,NA,";",2023-03-05 06:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-05,"12:00","//maps.google.com/maps?q=57.150526666667,-2.345403333333",NA,NA,57.150527,-2.345403,NA,NA,0,"3.02 V",33,5,NA,NA,";",2023-03-05 12:00:01,"F",1670,"Aberdeenshire","roe"
"T3HS-7351",300434066985790,2023-03-05,"18:01","//maps.google.com/maps?q=57.149470000000,-2.342363333333",NA,NA,57.14947,-2.342363,NA,NA,0,"3.02 V",71,7,NA,NA,";",2023-03-05 18:01:01,"F",1670,"Aberdeenshire","roe"
