"Animal_ID","variable","est","se","sig","variableType","colour","Animal_ID_colour"
"Roe07_F","Human Settlements",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe07_F</i>"
"Roe07_F","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe07_F</i>"
"Roe07_F","Distance to Woodland",-0.00680386961345077,0.00209352303766039,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe07_F</i>"
"Roe07_F","Distance to Hedges",0.00280989183726984,0.000668117935674606,"Significant +","Distance","#B54D17","<i style='color:#B54D17'>Roe07_F</i>"
"Roe07_F","Road Crossing",-0.248253735217108,0.18168028091716,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe07_F</i>"
"Roe07_F","sl_",0.00185562596032906,0.000744851461092602,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe07_F</i>"
"Roe07_F","log sl_ ",-0.0330804557531206,0.0668168742380382,"Not Significant","Step","#505050","<i style='color:#505050'>Roe07_F</i>"
"Roe07_F","cos ta_ ",-0.122283725646148,0.0798594444527093,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe07_F</i>"
"Roe06_F","Evergreen Needleleaf Forest",-14.1974860305161,1168.40781947639,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe06_F</i>"
"Roe06_F","Cropland",0.0417050896524457,0.0816593529225628,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe06_F</i>"
"Roe06_F","Tall Grassland",-0.041172168348797,0.0776251257862862,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe06_F</i>"
"Roe06_F","Short Grassland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe06_F</i>"
"Roe06_F","Open Shrubland",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe06_F</i>"
"Roe06_F","Barren",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe06_F</i>"
"Roe06_F","Permanent Wetland",1.0868497979015,0.126649230293809,"Significant +","Landuse","#B54D17","<i style='color:#B54D17'>Roe06_F</i>"
"Roe06_F","Human Settlements",-13.7704164168271,1151.42312037908,"Not Significant","Landuse","#505050","<i style='color:#505050'>Roe06_F</i>"
"Roe06_F","Other",NA,0,NA,"Landuse",NA,"<i style='color:NA'>Roe06_F</i>"
"Roe06_F","Distance to Woodland",-0.0086500259752752,0.000734537773546107,"Significant -","Distance","#E79559","<i style='color:#E79559'>Roe06_F</i>"
"Roe06_F","Distance to Hedges",0.000274306171462175,0.000271593930997861,"Significant +","Distance","#B54D17","<i style='color:#B54D17'>Roe06_F</i>"
"Roe06_F","Road Crossing",-1.12066061310045,0.0940071684628519,"Significant -","Other","#E79559","<i style='color:#E79559'>Roe06_F</i>"
"Roe06_F","sl_",0.00204099109080991,0.000434019346600239,"Significant +","Step","#B54D17","<i style='color:#B54D17'>Roe06_F</i>"
